Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,1u,
"J1, J2, J4",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02_Pin,
J3,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
R1,0805,1,10k,
"R3, R4",0805,2,33k,
R5,R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal,1,1k,
U1,SOT-23-6,1,ADA4807-1,
