Designator,Mid X,Mid Y,Rotation,Layer
C1,29.75,-21.5,90.0,top
J1,19.75,-20.245,0.0,top
J2,40.5,-20.23,0.0,top
J3,25.5,-20.55,0.0,top
J4,31.245,-28.75,90.0,top
R1,36.75,-28.75,0.0,top
R3,32.25,-16.75,0.0,top
R4,36.5,-16.75,0.0,top
R5,32.88,-36.0,0.0,top
U1,34.25,-22.6125,90.0,top
