Designator,Mid X,Mid Y,Rotation,Layer
J10,50.75,-24.27,180.0,top
J8,29.5,-24.23,180.0,top
J9,55.75,-24.245,0.0,top
R7,33.25,-24.0,90.0,top
R8,41.5,-24.0,90.0,top
R9,50.33,-30.25,180.0,top
U3,37.825,-23.558815,0.0,top
U4,46.05,-24.0725,90.0,top
