Designator,Mid X,Mid Y,Rotation,Layer
C1,33.25,-23.25,270.0,top
J1,27.0,-19.23,0.0,top
J2,50.5,-21.745,0.0,top
J3,27.0,-28.21,0.0,top
J4,45.25,-27.48,0.0,top
R1,40.0,-33.75,180.0,top
R3,36.67,-28.25,0.0,top
R5,40.42,-18.25,0.0,top
U1,38.5,-23.0,0.0,top
