Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D5.0mm_P2.50mm,1,1u,
J1,PinHeader_1x02_P2.54mm_Vertical,1,12 vin,
J2,PinHeader_1x02_P2.54mm_Vertical,1,OUT PWM,
J3,PinSocket_1x03_P2.54mm_Vertical,1,POTENTIOMETE,
J4,PinHeader_1x02_P2.54mm_Vertical,1,for jumper,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10k,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,33k,
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1k,
U1,SOT-23-6,1,ADA4807-1,
