Designator,Mid X,Mid Y,Rotation,Layer
J12,31.625,-50.02,180.0,top
J13,47.25,-55.52,0.0,top
J14,51.25,-55.505,180.0,top
R14,39.775,-52.85,90.0,top
R15,35.375,-52.79,270.0,top
U8,46.625,-49.18,0.0,top
